Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,Investors Name,InvestmentnType,Amount in USD,Remarks,City
2176,21/12/2015,Peppertap,Hyperlocal\\xc2\\xa0 Grocery Delivery Service,,Innoven Capital,Private Equity,4000000,part of $40M Series B round,Gurgaon
2177,21/12/2015,KOOH Sports,Sports Education Platform,,"TCS, HDFC, Faering Capital, Elevate Sports",Private Equity,2000000,Series A,Mumbai
2181,22/12/2015,LatestOne,Mobile accessories online store,,Palred Technologies Ltd,Private Equity,3000000,Additional investment from parent company,Hyderabad
2183,22/12/2015,Arya.ai,Artificial Intelligence platform,,"YourNest Angel Fund, Venture Nursery",Private Equity,750000,Series A,Mumbai
2184,22/12/2015,Doctor Insta,Medical Consultation & Doctor appointment booking platform,,"Rishi Parti, BrahmaX Ventures",Private Equity,500000,pre-Series A,Gurgaon
2185,22/12/2015,MobieFit,Mobile Fitness App,,Medi Assist,Private Equity,1000000,Strategic Investment,Goa
2187,23/12/2015,Mech Mocha,Mobile Game development & Design platform,,"Blume Ventures, Flipkart",Seed Funding,1000000,,Bangalore
2188,23/12/2015,Shotang.com,B2B eCommerce Marketplace,,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",Private Equity,5000000,Series A,Bangalore
2190,24/12/2015,Black White Orange,B2B Merchandize platform,,Collaborative Licensing Ventures LLP,Seed Funding,303000,,Mumbai
2192,24/12/2015,Canvera,Photographer Online search & booking platform,,Info Edge (India) Ltd,Private Equity,2200000,,Bangalore
2193,28/12/2015,Town Essentials,Grocery Delivery platform,,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",Seed Funding,1000000,,Bangalore
2194,28/12/2015,Bumper,Mobile Car Servicing appointment app,,SAIF Partners,Seed Funding,500000,,Bangalore
2195,29/12/2015,Hotify,New Curation Mobile App,,Mahavir Pratap Sharma,Seed Funding,150000,,Bangalore
2196,29/12/2015,MobiKwik,Mobile Wallet,,"Sequoia Capital, Tree Line Asia, Innoven Capital",Private Equity,6600000,Additional Funding,Gurgaon
2198,02/11/2015,Twigly,Online Food Ordering & Delivery platform,,"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs",Seed Funding,200000,,Gurgaon
2199,02/11/2015,CityFlo,Bus Aggregation and rental mobile app,,IDG Ventures,Seed Funding,750000,,Mumbai
2202,03/11/2015,Pokkt,Alternate Mobile Monetization platform,,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel\\xe2\\x80\\x99s Innov8, Jungle Ventures, K Ganesh",Private Equity,5000000,Series B,Mumbai
2203,03/11/2015,oibanit,Online Food Ordering Marketplace,,"Varun Ahuja, Anubhav Verma",Seed Funding,150000,,Vadodara
2204,03/11/2015,Stuffed,Quick Service Restaurant & Online Delivery,,Riqueza Capital,Seed Funding,385000,Funding happened in Sept 2015,Mumbai
2205,03/11/2015,LoanBaba,Online Loans Marketplace,,,Seed Funding,320000,,Mumbai
2206,03/11/2015,Deyor Rooms,Budget Hotels Aggregator,,Dheeraj Jain & Others,Seed Funding,500000,,New Delhi
2207,03/11/2015,Bidgely,Efficient Energy Management platform,,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,16600000,Series B,USA/India
2208,04/11/2015,Shirsa Labs,Digital Intelligent learning platform,,ah! Ventures,Seed Funding,250000,,Mumbai
2210,04/11/2015,YourDOST,Online Counselling and psychological support platform,,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",Seed Funding,400000,,Gwalior
2211,05/11/2015,BookMyBai,Domestic Help Aggregation platform,,Vineel Nalla & Others,Seed Funding,150000,,Mumbai
2212,05/11/2015,MyIndianStay,Home Stay & room rentals platform,,Undisclosed investors,Seed Funding,200000,,Goa
2215,06/11/2015,Satvacart,Online Grocery platform,,Undisclosed HNIs,Private Equity,1800000,Pre-Series A Bridge,Gurgaon
2216,06/11/2015,POPxo.com,Online content platform for women,,"IDG Ventures India, Kalaari Capital, 500 Startups",Private Equity,2000000,Series A,New Delhi
2217,06/11/2015,SparesHub,Online Vehicle Spare Parts etailer,,"Hyderabad Angels, M&S Partners",Seed Funding,460000,Pre-Series A,Pune
2218,06/11/2015,Explara,Event Ticketing platform,,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",Private Equity,490000,Pre-Series A,Pune
2220,06/11/2015,Yuvi Hospitality,Premium dining Lounges & restaurants,,Chandralekha Construction Pvt. Ltd.,Private Equity,15000000,Series A,Gurgaon
2221,09/11/2015,AppVirality,Mobile Growth Hacking\\nPlatform,,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,\\xc2\\xa0 Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding,500000,Pre-Series A,Hyderabad
2222,09/11/2015,iStar Skill Development,Skill Training Startup,,"Michael & Susan Dell Foundation, Unitus Seed Fund",Private Equity,1500000,Series A,Bangalore
2223,09/11/2015,BigStylist.com,Beauty and Wellness Marketplace,,Info Edge,Private Equity,1000000,Pre-Series A,Mumbai
2224,09/11/2015,Zilingo,Marketplace App for Bangkok,,"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon",Private Equity,1900000,Series A,Bangalore/ Bangkok
2225,09/11/2015,Didi,On-demand Maids Service Provider,,"Jozef Bardik, Leo Wang Sangeeth Ram",Seed Funding,150000,,Mumbai
2226,09/11/2015,Skoov.com,eCommerce Product Search Engine,,undisclosed investor,Seed Funding,150000,,Mumbai
2227,10/11/2015,Chefs Basket,Ready to cook packaged Foods,,"SAIF Partners, Haresh Chawla",Private Equity,6000000,Series A,Mumbai
2229,11/11/2015,Delight Foods,Branded Food products online sales,,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",Private Equity,600000,Series A,Bangalore
2231,11/11/2015,RenewBuy,Auto Insurance Online platform,,Mount Nathan Advisors Pte Ltd,Seed Funding,500000,,Gurgaon
2233,12/11/2015,Hitwicket,Cricket Management Mobile Game,,Chennai Angels,Seed Funding,250000,,Hyderabad
2235,16/11/2015,Cashkaro.com,Ecommerce Discount & Cashback coupons platform,,Kalaari Capital,Private Equity,3700000,Series A,Gurgaon
2236,16/11/2015,Absentia,Virtual Reality Headset creator,,"Astarc Ventures, 50K Ventures & others",Seed Funding,180000,,Bangalore
2238,16/11/2015,TaskBucks,mobile-only tasks marketplace,,Times Internet,Private Equity,15000000,Strategic Investment,New Delhi
2239,17/11/2015,CraftsVilla,Women Ethnic Wear\\xc2\\xa0 Online Marketplace,,"Sequoia India, Lightspeed Venture Partners, Nexus Venture Partners, Global Founders Capital, Apoletto",Private Equity,34000000,Series C,Mumbai
2240,17/11/2015,Julia Computing,Numerical Computing & Data Science Platform,,Gordon and Betty Moore Foundation,Seed Funding,600000,,Bangalore
2241,17/11/2015,StyleTag,Designer fashion Jewellery Marketplace,,Jitu Virwani,Seed Funding,7500000,,Bangalore
2242,17/11/2015,Smytten,Online Products Discovery Platform,,"Rimpal Chawla, Anuj Srivastava",Seed Funding,200000,,Gurgaon
2243,17/11/2015,BiBox,Kids Tool kit for Innovation platform,,Ravi Krishnamurthy,Seed Funding,530000,,Bangalore
2244,17/11/2015,Convegenius,Mobile Learning Solutions,,Enablers platform,Seed Funding,300000,,Noida / Singapore
2245,18/11/2015,Ola,Car Aggregator & Retail Mobile App,,"Baillie Gifford, Falcon Edge Capital, Tiger Global, SoftBank Group, DST Global, Didi Kuaidi",Private Equity,500000000,Series F ( More Details Here),Bangalore
2246,18/11/2015,Goodbox,conversational commerce mobile app,,Nexus Venture Partners,Private Equity,2500000,Series A,Bangalore
2247,18/11/2015,ScoopWhoop,Viral Content web Platform,,Kalaari Capital,Private Equity,4000000,Series A,New Delhi
2252,19/11/2015,UrbanClap,Mobile Services Marketplace,,"Bessemer Venture Partner, Accel, SAIF Partners",Private Equity,25000000,Series B,Gurgaon
2253,19/11/2015,SenseGiz,Smartwatch Maker,,Karnataka Semiconductor Venture Capital firm,Seed Funding,500000,,Belgaum
2255,19/11/2015,Fourseven,Online Jewellery etailer,,Indian Angel Network,Seed Funding,455000,,New Delhi
2256,20/11/2015,MindTickle,Sales & Productivity Software,,New Enterprise Associates,Private Equity,12500000,Series A,Pune / US
2258,20/11/2015,Medinfi,Health-Tech platform,,"Ram Kumar Kakani, Pradeep K Jaisingh, Sunil T V, Vijay Ghadge, Hemant Kaul, Gurmeet Chahal & Others",Seed Funding,305000,,Bangalore
2259,20/11/2015,OUWT,Nightlife Discovery Mobile App,,Undisclosed investors,Seed Funding,150000,,Mumbai
2260,20/11/2015,HeyPillow,Online Real Estate Marketplace,,Hampton Capital,Private Equity,3000000,Series A,Bangalore
2262,21/11/2015,Caravan Craft,Indian Ethnic Crafts Etailer,,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",Private Equity,1200000,Series A,Bangalore
2263,21/11/2015,Talkoot,Social platform for traders and investors,,Undisclosed investors,Seed Funding,100000,,Bangalore
2264,23/11/2015,RentoMojo,"Online Furniture, Home Appliances Rental Platform",,"IDG Ventures India,\\xc2\\xa0 Accel Partners India",Private Equity,2000000,Series A,Bangalore
2265,23/11/2015,Medikoe,Healthcare Services Discovery platform,,Anil Menon,Seed Funding,100000,,Bangalore
2266,24/11/2015,Stylofie,Health and Beauty Services Marketplace,,Swastika,Seed Funding,250000,,Gurgaon
2268,24/11/2015,Naaptol,Online and TV Shopping Marketplace,,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",Private Equity,52000000,Late Stage,Mumbai
2270,25/11/2015,EarlySalary.com,Mobile App based Loan disbursement platform,,Ashok Agarwal,Seed Funding,1500000,,Mumbai
2271,25/11/2015,Tooler,On Demand Laundry Services App,,"Raghu Khanna, Sameer Gupta",Seed Funding,110000,,New Delhi
2272,25/11/2015,S Chand,Education Content Provider,,IFC Everstone Group,Private Equity,27000000,,New Delhi
2274,26/11/2015,GoQii,Fitness Tracking Management Solutions,,"New Enterprise Associates, Cheetah Mobile",Private Equity,13400000,Series B,Mumbai
2275,26/11/2015,Grofers,Hyper-local Grocery Delivery platform,,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers",Private Equity,120000000,Late Stage,Gurgaon
2276,26/11/2015,Pluss,Hyperlocal healthcare product Delivery Service provider,,"IDG Ventures, M & S partners, Powerhouse Ventures (USA).",Private Equity,1000000,Pre-Series A,Gurgaon
2279,27/11/2015,JustRide,Self Driven Rental Car Platform,,,Private Equity,2000000,Pre-Series A bridge round,Mumbai
2284,30/11/2015,Baxi,Two-Wheeler Taxi Service,,"Manish Kheterpal, Alok Mittal,\\xc2\\xa0 Puneet Dalmia,",Seed Funding,1450000,,Gurgaon
2285,30/11/2015,Superhero Brands,character merchandize sales platform,,DSG Consumer Partners,Seed Funding,540000,,Mumbai
2287,30/11/2015,QikPod,Ecommerce Delivery locker services,,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,9000000,Series A,Bangalore
2293,01/10/2015,Muvizz,Movie-on-demand platform,,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,350000,,Singapore
2296,02/10/2015,Shopalyst,Product discovery & recommendation platform,,Kalaari Capital,Private Equity,2000000,Series A,Bangalore
2297,03/10/2015,Chillr,Mobile Payments App,,Sequoia Capital,Private Equity,6000000,Series A,Mumbai
2298,05/10/2015,Nykaa,Beauty & Wellness Products e-tailer,,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,9500000,Series B,Mumbai
2299,05/10/2015,Voylla,Fashion jewelry and accessories e-tailer,,Peepul Capital,Private Equity,15000000,Series B,Jaipur
2300,05/10/2015,IndiaLends,Online Consumer Lending platform,,"DSG consumer Partners, Paragon Partners",Private Equity,1000000,Pre-Series A Bridge round,New Delhi
2301,05/10/2015,Rock N Shop,Premium Apparel shopping portal,,High Networth Individuals (undisclosed),Seed Funding,150000,,New Delhi
2302,06/10/2015,DocPlexus,Exclusive Platform for Doctors & Healthcare professionals,,"Uniqorn ventures, ASP Consulting",Seed Funding,700000,,Pune
2303,06/10/2015,WorkIndia,Job Board,,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Seed Funding,500000,Pre-Series A,Mumbai
2304,06/10/2015,SportzVillage,Sports Management & Physical Education Business,,Gaja Capital Private Equity Fund,Private Equity,10000000,Series B,Bangalore
2306,06/10/2015,Burger Singh,QSR & Online delivery portal,,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed Funding,500000,Bridge Round,Gurgaon
2307,06/10/2015,Welcome Cure,Online Homeopathy Clinic,,Unnamed Media house and HNIs,Private Equity,6000000,Pre-Series A,Mumbai
2308,07/10/2015,SchoolGuru,E-Learning Service Provider,,High Networth Individuals from India & USA,Private Equity,3000000,Series A,Mumbai
2310,07/10/2015,GoJavas,Delivery & Logistics Service provider,,Snapdeal,Private Equity,20000000,Strategic Funding (Series C),Gurgaon
2313,08/10/2015,ZuperMeal,Home Cooked Food marketplace & Delivery,,"Sanjeev Kapoor,\\xc2\\xa0 Ravi Saxena & Others",Private Equity,2000000,Series A,Mumbai
2314,08/10/2015,Cube26,Gesture based Mobile Development,,"Tiger Global Management, Flipkart",Private Equity,7700000,Series A,New Delhi
2316,08/10/2015,Grabhouse,Rental Accommodation Search platform,,Sequoia and Kalaari Capital.,Private Equity,10000000,Series B,Bangalore
2317,08/10/2015,Quifers,Logistics Tech Platform,,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,310000,,Mumbai
2318,09/10/2015,Stockroom.io,Developer Portfolio Showcase platform,,Undisclosed Investors,Seed Funding,70000,,Hyderabad
2320,09/10/2015,Cloud Lending,End-to-End Lending platform,,SF Capital Group,Private Equity,8000000,Series A,Bangalore / San Mateo
2321,09/10/2015,Inayo,on-demand healthcare marketplace,,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding,300000,,Mumbai
2323,09/10/2015,Kulzy,Advertising & Marketing Community Networking platform,,"Seedfund, Bedrock Ventures",Seed Funding,1000000,,New Delhi
2324,09/10/2015,Zeppery,Food Ordering & Delivery App,,Suyash Sharma,Seed Funding,77000,,New Delhi
2325,12/10/2015,Zify,Ride Sharing platform,,Sean O\\xe2\\x80\\x99Sullivan & Others,Seed Funding,190000,,Hyderabad
2328,12/10/2015,Gridle,Cloud Based Collaboration platform,,LetsVenture,Seed Funding,100000,,Ahmedabad
2331,13/10/2015,Voodoo,Mobile Only Shopping Assistant,,SAIF Partners,Seed Funding,1000000,,New Delhi
2332,13/10/2015,Lookup,Mobile Messaging Assistant App,,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,2500000,Series A,Bangalore
2333,14/10/2015,AskMyGift,Personalized Wish List creator app,,Turning Ideas,Seed Funding,50000,,Noida
2335,14/10/2015,Zappfresh,Raw Meat & Ready to eat food etailer,,Undisclosed Investors,Seed Funding,77000,,Gurgaon
2341,17/10/2015,S-Cube Futuretech,Structural & Civil Engg Service Automation,,Parampara Capital,Private Equity,1000000,Series A,Mumbai
2343,19/10/2015,Citrus Payment,Payments Solution platform,,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,25000000,Series C,Mumbai
2344,19/10/2015,Holidify,Travel Destination Discovery platform,,Aarti Group,Seed Funding,100000,,New Delhi
2346,20/10/2015,Opinio,Last Mile Delivery Service,,"Delhivery, Sands Capital and Accel Partners",Private Equity,7000000,Series A,Bangalore
2347,20/10/2015,Attune Technologies,Healthcare IT Solutions & services,,"Qualcomm Venture, Norwest Venture Partners",Private Equity,10000000,Series B,Chennai
2350,21/10/2015,AgentDesks,Real Estate Mobile CRM,,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,2950000,,New York/ India
2351,21/10/2015,White Owl Brewery,Micro-Brewery,,"Arihant Patni, RAAY Global Investments",Private Equity,1530000,Series A,Mumbai
2352,21/10/2015,MealHopper,Home Made Food Marketplace,,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,100000,,Gurgaon
2353,21/10/2015,Zenify.in,residential rental management platform,,"Atul Jalan, Shrikanth & Bharath",Seed Funding,640000,,Bangalore
2355,23/10/2015,Medd,Personal Diagnostic Mobile App,,Group of Angel investors,Seed Funding,150000,Bridge Round,Mumbai
2356,23/10/2015,Leaping Caravan,Online food ordering & Delivery service,,Group of Angel investors,Seed Funding,150000,,Gurgaon
2357,23/10/2015,Frsh,Online food ordering & Delivery service,,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,1000000,Bridge Round,Gurgaon
2358,23/10/2015,Qik Stay,Hotel Aggregator & booking platform,,ID Enablers Pvt Ltd,Seed Funding,250000,,New Delhi
2359,26/10/2015,Parcelled,Online Logistics Platform,,Delhivery,Private Equity,5000000,,Bangalore
2360,26/10/2015,AlmaMapper,Online Student & Campus Social Networking platform,,Oswal Techno Ventures LLP,Seed Funding,400000,,Ahmedabad
2361,26/10/2015,Flexing It,Professionals & Project Search Marketplace,,undisclosed private investors,Seed Funding,500000,,New Delhi
2362,26/10/2015,Netmeds.com,Online Pharmacy,,"OrbiMed, Pradip Dadha Group",Private Equity,50000000,Series A,Chennai
2363,26/10/2015,Razorpay,Online Payment Gateway,,"Tiger Global Management, Matrix Partners",Private Equity,9000000,Series A,Jaipur
2365,27/10/2015,Happitoo,Location based Nightlife recommendation\\xc2\\xa0 Platform,,Unnamed investor,Seed Funding,77000,,Mumbai
2366,27/10/2015,Care24,Professional Health Services Platform,,India Quotient,Seed Funding,350000,,Mumbai
2367,27/10/2015,Roadrunnr,Hyperlocal Logistics Service,,"Sequoia Capital, Nexus Venture Partners",Private Equity,10000000,Series B,Bangalore
2369,28/10/2015,ORIGA Leasing,Asset Financing platform,,"ah! Ventures, 500 Startups & Other HNIs",Seed Funding,1100000,,Mumbai
2370,28/10/2015,Smartivity.in,Virtual Reality activity based learning platform,,S Chand and Co Pvt Ltd,Seed Funding,200000,,New Delhi
2374,29/10/2015,ZopHop,Public Commute helper App,,"Amit Singhal, PK Gulati & others",Seed Funding,450000,,Mumbai
2377,30/10/2015,LiftO,Ridesharing Mobile app,,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,130000,,Mumbai
2378,30/10/2015,TinyOwl,Food Discovery & Delivery Mobile app,,"Sequoia Capital, Matrix Partners",Private Equity,7500000,Series B,Mumbai
2379,30/10/2015,Toppr.com,Competitive exam learning platform,,InnoVen Capital,Private Equity,2000000,Series C,Mumbai
2380,30/10/2015,Kleeto,Document Digitization platform,,GREX,Seed Funding,230000,pre-Series A,Gurgaon
2381,30/10/2015,BeaconsTalk,proximity marketing & Mobile Advertising platform,,Puneet Bhatia & others,Seed Funding,80000,,Mumbai
2382,31/10/2015,Jugnoo,Autorickshaw Aggregator & Booking platform,,Paytm,Private Equity,10000000,Series B,Chandigarh
2383,01/09/2015,TOFlo,FinTech Startup Incubation platform,,Tania Johny Palathinkal,Seed Funding,100000,,Mumbai
2385,01/09/2015,Stylecracker,Personalized Styling platform,,Group of HNI investors,Private Equity,1000000,Series A,Mumbai
2386,01/09/2015,Luxuryhues,Luxury goods\\xc2\\xa0 Shopping Platform,,Reliance Capital,Private Equity,900000,Series A,Gurgaon
2388,02/09/2015,Zivame,Online Lingerie Marketplace,,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,40000000,Series C,Bangalore
2389,02/09/2015,Capillary Tech,Cloud software solutions,,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,45000000,Series D,New Delhi
2390,03/09/2015,Jobspire,Job Search Platform,,Purvi Capital,Seed Funding,260000,,Bangalore
2392,03/09/2015,Vistaar Finance,Small Business Financing (NBFC),,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,\\xc2\\xa0 Lok Capital",Private Equity,40000000,,Bangalore
2394,04/09/2015,Clapsnslaps,Online Movie Review Platform,,R M Picture Company Pvt. Ltd.,Seed Funding,150000,,Mumbai
2395,04/09/2015,Blubox,ECommerce Brands\\xe2\\x80\\x99 Full Service Agency,,Ashish Jhalani,Seed Funding,100000,,Mumbai
2396,04/09/2015,RoomCentral,Cloud-based Hotel Booking Platform,,Karanpal Singh,Seed Funding,2000000,,Bangalore
2397,07/09/2015,YouthKiAwaaz,Community Driven News/Views Platform,,"Raghav Bahl, Ritu Kapur",Seed Funding,600000,,New Delhi
2398,07/09/2015,Prozo,Study Material Marketplace,,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed Funding,205000,,New Delhi
2399,07/09/2015,Zomato,Restaurant Ratings & Reviews platform,,"Temasek, Vy Capital",Private Equity,60000000,Late Stage,Gurgaon
2400,07/09/2015,Sahayog Dairy,Dairy Based Product Manufacturer,,Acumen Fund,Private Equity,1800000,Series A,Bhopal
2401,08/09/2015,MockBank,Government Test Preparation platform,,Blume Ventures,Seed Funding,400000,,Bangalore
2404,10/09/2015,OnlineTyari,Multilingual Test Preparation Platform,,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,770000,Series A,Gurgaon
2405,10/09/2015,IndustryBuying,Industrial Tools Marketplace,,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,9200000,Series B,New Delhi
2406,10/09/2015,The/Nudge Foundation,Non Profit Organization to alleviate poverty,,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,315000,,Bangalore
2407,11/09/2015,FitMeIn,Gym & Fitness Studios Subscription platform,,Green House Ventures,Seed Funding,100000,,New Delhi
2409,11/09/2015,Zapyle,pre-used apparel shopping mobile app,,,Seed Funding,1000000,,Bangalore
2411,12/09/2015,CredR,Used Vehicles Marketplace,,Eight Road Ventures,Private Equity,15000000,Series A,Mumbai
2413,14/09/2015,CanvasFlip,Mobile App testing platform,,Bessemer Venture Partners,Seed Funding,1200000,,Hyderabad
2414,14/09/2015,Shadowfax,Hyperlocal Delivery Services,,Eight Roads Ventures,Private Equity,9000000,Series A,Gurgaon
2415,14/09/2015,UE Life Sciences,Early Cancer Detection Solutions,,"Aarin Capital, Unitus Seed Fund",Private Equity,3000000,Series A,US/India
2416,14/09/2015,Ola Cabs,Cab rental Mobile app,,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,225000000,Late Stage,Bangalore
2417,15/09/2015,Coverfox,Online Insurance Distribution Platform,,Cataraman Ventures,Private Equity,2000000,Part of $12M Series B funding,Mumbai
2418,15/09/2015,MoEngage,Mobile Marketing Automation Platform,,"Helion Venture Partners, Exfinity Ventures",Private Equity,4250000,Series A,Bangalore
2420,15/09/2015,Tea Trails,Chain of Tea Caf\\xc3\\xa9\\xe2\\x80\\x99s,,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding,1000000,,Mumbai
2421,15/09/2015,Room on Call,Branded Budget Hotel Marketplace,,Payal Syal,Seed Funding,300000,,Noida
2423,16/09/2015,ChaiPoint,Food Subscription platform,,Eight Roads Ventures,Private Equity,10000000,Series A,Bangalore
2424,16/09/2015,WedmeGood.com,Wedding Planning Platform,,Indian Angel Network,Seed Funding,410000,,Gurgaon
2425,16/09/2015,XSTOK,B2B Mobile Auction Marketplace,,Oliphans Capital,Seed Funding,450000,,Mumbai
2428,17/09/2015,YepMe,Private label Fashion eTailer,,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,75000000,Series D,Gurgaon
2429,17/09/2015,Bueno,Online Food ordering & delivery,,High Networth Individuals (No details),Seed Funding,600000,,Gurgaon
2430,18/09/2015,Plabro,Real Estate Broker Platform App,,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,350000,,New Delhi
2431,18/09/2015,CureJoy,Online Health & Wellness platform,,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,1150000,Pre-Series A,Bangalore
2432,18/09/2015,Briston Technomach,Internet of Things platform,,Undisclosed,Seed Funding,150000,,New Delhi
2433,18/09/2015,LabStreet,Diagnostic Labs aggregator platform,,Multiple investors,Seed Funding,150000,,Gurgaon
2435,21/09/2015,Portea Medical,Home Medical Care Services,,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,37500000,,Bangalore
2436,21/09/2015,Neotrade Analytics,Real-Time stock data platform,,Rainmatter,Seed Funding,235000,,Bangalore
2438,21/09/2015,LafaLafa,coupons and cashback aggregator app,,500 Startups,Seed Funding,125000,thru Accelerator,Mumbai
2441,22/09/2015,Bestdealfinance,Financial Services Portal,,"Kalaari Capital, YourNest Angel Fund",Private Equity,3000000,Series A,Mumbai
2444,22/09/2015,Virtual Logic,"virtual reality, 3d simulation and stereoscopic products",,Swarnim Multiventures,Private Equity,800000,Pre-Series A,Bangalore
2445,22/09/2015,Furdo,Online Interior Designing platform,,Bhavdeep Reddy,Seed Funding,400000,,Bangalore
2446,22/09/2015,LogiNext,End-to-end Logistics platform,,Paytm,Private Equity,10000000,Series A,Mumbai
2447,22/09/2015,Korra,Private Label Apparel sales,,Asha Jadeja Motwani & Others,Seed Funding,300000,,New Delhi
2450,23/09/2015,SilverPush,Cross-device retargeting platform,,M&S Partners,Private Equity,1200000,Series A,Gurgaon / SFO
2451,23/09/2015,Juggernaut,Digital & Physical Publishing platform,,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,2250000,Series A,New Delhi
2452,23/09/2015,InnerChef,Food Delivery Platform,,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",Private Equity,1750000,pre-Series A,New Delhi
2453,24/09/2015,Quintype,Data Driven Publishing platform,,Raghav Bahl,Private Equity,3300000,,Bangalore
2454,24/09/2015,Capabiliti,Employee OnBoarding & Orientation platform,,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,400000,,Noida
2455,24/09/2015,Fourth Partner Energy,Solar Power Solutions company,,"Infuse Ventures, The Chennai Angels",Private Equity,2000000,Series A,Hyderabad
2456,24/09/2015,Licious,Online Meat Ordering platform,,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,1000000,,Bangalore
2459,28/09/2015,Ola Cabs,Cab Booking app platform,,Didi Kuaidi,Private Equity,30000000,late Stage (part of $500M funding rnd),Bangalore
2460,29/09/2015,Paytm,E-Commerce & M-Commerce platform,,"Alibaba Group, Ant Financial",Private Equity,680000000,Late Stage (Alibaba @ 40% equity),New Delhi
2461,29/09/2015,Inmobi,Mobile Advertising platform,,Tennenbaum Capital Partners & Others,Private Equity,100000000,Late Stage,Bangalore
2462,29/09/2015,Peppertap,Hyperlocal Grocery Delivery,,"Sequoia India, SAIF Partners.",Private Equity,36000000,Series B,Gurgaon
2465,29/09/2015,Zakoopi,Fashion Discovery platform,,Uniqorn Ventures,Seed Funding,350000,,New Delhi
2467,30/09/2015,Infoworks,Big Data Management Platform,,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,5000000,,Bangalore / USA
2468,30/09/2015,RedDoorz,Budget Accommodation Platform,,Jungle Ventures,Seed Funding,1000000,,Noida
2470,30/09/2015,Eywa Media,Digital Signal processing platform,,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Seed Funding,1000000,,Bangalore
2471,01/08/2015,Snapdeal,Ecommerce Marketplace,,"Alibaba, Foxconn, Softbank",Private Equity,500000000,Late Stage Round 7th (More details),New Delhi
2472,01/08/2015,Ressy,Restaurant Discount app,,Mohandas Pai & others,Seed Funding,400000,,Pune
2474,03/08/2015,Connect India,ECommerce Logistics provider,,Aavishkaar,Private Equity,5000000,Series A,New Delhi
